# Scramble samples — eoline / eoline / BGWY / bin 1
# Population in this bin: 324
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-29
# Columns: id,scramble,bottom_color,competition,round

5242739001,R' U2 R' U2 D2 F' D2 L U2 F L2 B' D2 F' U2 F' U',B,Cubestuff Q4 Zwartkop 2025 (2025-11-29~30),333 R1 B #3
391470001,F2 R2 D2 U' L2 D' B2 D2 R2 F D2 F2 D B U F D2 U',W,Cubetcha 2016 (2016-11-05),333 R2 A #3
397306001,R' B' R2 F' U D2 F2 B2 U F R2 D2 R D2 R' U2 L F2 R2,B,GeniusCube 2016 (2016-11-05~07),333oh R1 F E1
406981001,L2 D2 U' B2 L2 U L2 F2 U' L2 U2 B' D' U2 R2 D' B F2,Y,Cerbuna Open 2016 (2016-12-03~04),333oh R1 B #5
422751001,F R2 F2 D L2 B D F' U2 B2 D2 F2 U' B2 D F2 U' R2 U,B,Rubik's Cube Mumbai Open 2016 (2016-12-23~24),333oh Final A #4
428343001,U' L U D2 B2 D' L U D' R F2 U2 F2 U' L2 D2 F2,W,Cubelonia 2017 (2017-01-06~08),333 R2 B E2
4378726001,R2 U' B2 F2 L2 B2 U' R2 D' R2 L' U B R2 B' U',B,The Last Game EC 2024 (2024-12-21),333oh Final A #4
434385001,L2 F2 U' R2 U' L2 R2 U2 L2 U R2 B' D' F' U B U,G,Utah Cubing for Charity 2017 (2017-01-21),333 R2 B #2
3579747001,L2 F D2 U2 B' D2 F' R2 B' U L2 F L2 U B F U' L,B,Bulldog Winter 2024 (2024-03-09),333 R1 C #2
3629197001,R2 U2 L2 U L2 B2 R' D2 L U' L2 D2 U R2 U L U2,Y,Manchester Spring 2024 (2024-03-29~31),333 Final B #2
468219001,R2 U L2 D' L2 B2 U B F2 D B2 U F' D B' F' L,G,Drishti Cube Open 2017 (2017-03-19),333 R1 G E2
473815001,F2 R D R' U2 R' D L' U2 F2 R2 B2 D B2 U D L2 F2,W,ZUA Open 2017 (2017-03-25~26),333 R1 D #3
507525001,B2 F' D2 F' L2 U2 R2 D2 B R' D2 F' R' F L2 R2 D2 F2 D,B,Kaunas Open 2017 (2017-05-06~07),333oh R1 A #3
522146001,B2 U2 F2 R2 F2 D B2 U L2 B2 U' B D' B D2 U2 B' D2 L,G,Swedish Championship 2017 (2017-05-26~28),333oh R1 C #1
4291553001,L2 U' D2 F2 U2 R U2 R' B2 L' F L' B2 F D F U' F',B,Robinson Latkrabang Open 2024 (2024-11-16~17),333oh R1 A #4
562143001,L2 B2 L2 D F2 D2 U R2 U' F U L2 R2 U2 B U' F2 D' L,Y,Korean Championship 2017 (2017-07-28~30),333 R2 E #3
580467001,R2 U2 L' U2 B2 R2 D2 L' B' D2 R' F2 L2 D2 B R2 F' L2 U',G,MYCA Cube Day 2017 (2017-08-26),333 R2 B #1
591716001,U L2 F2 D2 L2 U2 R2 F D' U B' F2 D F L2 B2 U' F,W,Kaohsiung Autumn Open 2017 (2017-09-10),333 R2 B #5
608090001,B2 D2 U2 L F2 R2 D2 R F2 R U' F2 U2 R2 F2 U L' U2 F',Y,Melgar Summer 2017 (2017-09-30~10-01),333oh Final B #1
5428352027,U' B U F' R B2 D' U' F2 D' R2 U2 L' D F L2 U R2 B2 D2,Y,Tokyo BLD Winter 2026 (2026-03-07),333mbf Final A #1
650148001,U2 L2 B' L2 F' R2 F2 U B' R2 B U' F R2 U B R,Y,Longhorn Cube Day 2017 (2017-11-18),333 R2 B E1
655488001,B' R2 U2 F2 L2 R2 U2 B D2 R' B' D2 B U2 F' L B' R' B2,B,APJ BLD Open 2017 (2017-11-25~26),333oh R1 B E1
660710025,L F2 L2 D2 L U2 F2 L2 B2 F2 U F2 L' R' F2 U' L' R2 D2 L B,Y,Nacionales Aquarela SpeedCubing 2015 (2015-05-16~18),333mbf Final A #1
5716877022,U2 D2 R2 L' F' L2 D B U B D2 F B2 R2 F L2 U B' D,Y,Maine Open 2026 (2026-06-19~20),333mbf Final A #1
3938046001,U' B U2 R2 B' D2 L2 B' F' D F D' R2 F D U' L2 R',B,Varna Open 2024 (2024-07-13),333 R2 C #4
4285571001,B2 D' F U D' L2 B D F2 B2 D F2 R2 F2 D R2 F,B,Efterårscubing i Hvidovre 2024 (2024-11-16~17),333 R1 B #3
660914001,D' L2 B2 D' R2 F2 D' R2 U' F2 L U' F' D U B F' U2 F' U' B R',G,Manchester Open 2016 (2016-01-30~31),333mbf Final A #1
660987006,F2 R2 F2 L' B2 L' D2 L D2 U B2 L F2 R' D' R2 B' L' F2 L B2,W,Big CubingItaly 2016 (2016-05-14~15),333mbf Final A #1
5218646001,U2 D' R2 U' B2 L' D2 R L2 U R D2 L' D2 F2 B2 R,W,Beijing Only 3x3 2025 (2025-11-23),333oh R1 A #2
661146001,L2 R2 B' D2 B' R2 B2 L2 U F2 L2 F' R F R' D2 B L B2,B,Porto Alegre Open 2016 (2016-10-15~16),333mbf Final A #2
661168025,D L2 U2 B2 U L2 D2 R' F R' U2 L R2 B L' F U2 B' L' F2,G,Phillips Exeter Cube Day 2016 (2016-11-05~06),333mbf Final A #1
5327232001,B2 R' D L2 D' R' L U' L2 U F2 U2 L2 U B2 U R2 F,Y,Manchester Favourites II 2026 (2026-01-17),333 Final B #3
661446004,L2 F2 L F2 L B2 D2 R' U2 R' D2 F' L2 R B2 F2 U R' B R B',B,SESC Santos 2017 (2017-07-28~30),333mbf Final A #3
661490010,B' L2 B D2 B F L2 D2 U2 B' U' B R2 U' L2 U2 L D2 F2 L B2 L2 U2,W,Visayas Championship 2017 (2017-09-02~03),333mbf Final A #1
664776015,R2 U2 F2 D2 R2 F2 R' U2 B2 L F' L2 R F' D' R2 B' D F2 D' B R2,B,Big 'n Blind 2017 (2017-12-10),333mbf Final A #2
671017040,L2 B2 U2 R2 D2 U2 F2 L U2 L B R2 U' L B2 U B2 F2 L2 D2 L2 U,Y,Skillcon 2017 (2017-12-16~17),333mbf Final A #1
4521554001,L2 B D2 U2 B L2 U2 F L2 F' U' F2 R2 U L2 B F L2,Y,PUCP Cubing Festival IV 2025 (2025-02-22~23),333 R2 F #1
5007203001,L' F2 D2 R U2 R' D2 F L' B' U2 L' F L B R F2,B,Road to Nats Maracay 2025 (2025-09-06),333 R1 B E2
712893029,D2 B2 D F2 D' F2 U' F' D B2 U F' D' R2 U2 L D R2 D',B,Singapore Cube Championship 2018 (2018-02-24~25),333mbf Final A #2
739671001,D' B U' D' F2 B' U2 B' D' B2 R2 L2 U2 R2 B2 R2 D B2 U,G,Happy Autumn MDQ 2018 (2018-03-30~31),333 Final A #5
741693001,U2 F2 L B2 D' B L2 D' L2 U2 B' D2 R2 D2 B' U2 B' R2 U2,B,Spring Cube In Minsk 2018 (2018-03-30~04-01),333oh R2 A #3
4128984001,L2 B D2 L D2 B' R B D2 B2 R' L' D2 R' F2 U2 F',B,Barberton Mini 2 2024 (2024-09-16),333oh Final B #3
3993691001,F2 U F2 R2 U F2 U' L2 F' U2 L2 F B2 D2 R2 B' D,W,Tacoma Summer 2024 (2024-08-03),333 R2 C #2
780950001,D2 U2 F' D2 F' L2 F' L2 B L B2 L R2 D' R' D2 R2 U2,Y,SPB Island 2018 (2018-05-12~13),333ft Final A #5
4344416001,L2 F2 D2 U' F2 U' B2 L2 D2 U' B2 F' U L2 R2 B D' R',W,Flushing Glow PM 2024 (2024-12-07),333 Final A E2
807179001,R F' R B2 R L2 F L F R B2 R L' F2 D2 F2 L2 U2,G,Georgia Open 2018 (2018-06-15),333oh Final A #2
809372001,L' U2 B2 D2 B2 R2 F2 R B' D2 U' R2 B L' D' U2 F U2 L' B' L',Y,CubingUSA Western Championship 2018 (2018-06-15~17),333bf R1 C E2
809952001,B2 U2 B' R2 D2 U2 B U2 L F2 R D2 U2 F2 R F' L2 B2,B,Project Warszawa 2018 (2018-06-16),333 Final A E2
822699005,R2 U2 L' D2 R' B2 L D L' F2 U2 R' D B2 L' B' F2 L2 U',W,Mental Breakdown Minnesota 2018 (2018-07-07~08),333mbf Final A #2
845757001,F' D' F' U' B D2 F' B U' F2 D2 R' L' B2 U2 B2 D2 R',Y,Ningxia Open 2018 (2018-08-05),333 R2 B #3
4667431001,L' U' R B2 D' F2 R2 D R' U F2 R2 D F2 L2 U L' F',Y,Deqing Spring 2025 (2025-04-19),333oh R1 D #4
870386001,D2 L' F' R2 L U2 F2 L F U2 F L2 F D2 L2 F2 R2,G,Music City Speedsolving 2018 (2018-08-31~09-01),333 R2 A #2
4284674001,L2 F' U2 B' F' L2 D2 L2 B U2 L F2 L' B U2 R B,G,Miami Skewbed 2024 (2024-11-16),333 R1 C #2
882255014,L2 U2 L2 B' F2 U2 R2 U' B2 D' F' D F' L2 U F' L2 U L2 U',W,Anaheim Fall 2018 (2018-09-15~16),333mbf Final A #2
897025001,B2 F2 R2 D U2 R2 F2 U F U B2 D F2 D U' B2 U' B',B,Australian Nationals 2018 (2018-10-06~07),333 R1 F #1
920151001,L' B L F' L' B R2 B L' B L2 F D2 B D2 R2 D2,G,Polish Championship 2018 (2018-10-26~28),333 R1 D #4
924672001,D R2 D' U2 F2 U2 F' U2 L2 D2 U L2 B2 F D' L2 B2,Y,TJHSST Fall 2018 (2018-11-03),333 Final A #1
929586001,L2 F2 D2 B' R2 U2 B U2 B2 R2 B' D' R2 D L' R2 U2 B2 D B2 D2,B,Luxembourg Open 2018 (2018-11-10~11),333bf Final B #1
942556001,R' B2 U2 R' F2 R B2 L R D2 B' L' R B L2 F2 L' U',G,Cariri Open 2018 (2018-11-24~25),333 Final A E1
942757001,D2 U' R2 D B2 R2 F2 D2 B2 F' U' R' D R2 B' D' U' R' B2 L2 D,G,Latvian Open 2018 (2018-11-23~25),333bf Final B E2
948390001,F2 U F2 U B' U R2 U2 F2 U2 R' D2 B2 L D2 R2 F2,Y,Indianapolis Fall 2018 (2018-12-01),333 R1 B #3
948951001,B U2 L2 R2 B' D2 U2 B2 D2 F' L B2 F' L' R2 F L2 F R',G,Bengaluru Winter Open 2018 (2018-12-01~02),333 R1 H #1
953271001,L B' R F2 B R U2 L' F' R2 U2 B2 D2 F U2 D2 L2 D2,G,Swisscubing Cup Final 2018 (2018-12-08~09),333 R1 B E2
4621935001,F2 D U' B2 D' R2 D L2 F U B2 D' F D' R2 D2 L,G,Energy Cube Konin 2025 (2025-04-05~06),333 R1 D #5
3629185001,L F2 D' U2 F R2 F2 R2 D2 F' R2 F R' U L' U2 L2 B2 R2,B,Manchester Spring 2024 (2024-03-29~31),333 R2 C #4
1015333005,B2 R B2 D2 U2 L' F2 R2 U R' D B' F' R D F' U B' D L' F,G,Medan Lunar New Year 2019 (2019-02-09~10),333mbf Final A #3
1015427001,B D B' D2 R' D B' D2 R U' D' R2 U' R2 L2 D' R2 B2 R2,B,Sergach Winter 2019 (2019-02-09~10),333oh Final A #3
1036509001,D B2 R2 U' R2 D2 B2 U' F2 D B2 L U R' U F2 D2 R' F,W,Xianyang Open 2019 (2019-03-03),333 R1 D #2
1040956042,R' B2 R U2 L' U2 B2 D2 L2 U' B U R D2 B L' F2 D' F L2 U2,Y,PBQ Berkeley Spring 2019 (2019-03-09),333mbf Final C #1
1047786001,B2 R2 F2 R2 D2 F D2 F2 U B D2 B' D U' B2 F D' U,W,Alborz Green Cup 2019 (2019-03-07~08),333oh Final A #4
4798521035,D2 U F' D2 B2 L2 F D B F' R2 D' R2 F D2 R' U' L2 U,G,VIC Side State Championship 2025 (2025-06-14~15),333mbf Final A #1
1081245001,D2 F2 R2 B2 R' B2 D2 B' D2 L R B L R' B R F2,B,Atomic Cubing Spring 2019 (2019-04-06),333oh R1 A #1
5572043001,U2 R2 D L2 U B2 D L2 R2 U' F' R2 U L2 D2 U B2 L2 R',B,National Trail Open OH 2026 (2026-04-25),333 R1 B #4
1131675001,R2 D F2 D2 F2 L2 D2 B U' B' L2 B D2 B' U' F2 U L,W,Ulaanbaatar Spring 2019 (2019-05-05),333 R1 C E2
5515724001,D2 R' L2 B2 L2 U' L2 U2 B2 D R2 F D' L2 U L2 U R,G,Cube in Luanda 2026 (2026-04-11),333 Final B E2
1165270001,B' D2 B U2 R2 F' R2 F R2 B2 U' F2 D' B' U B' R2 F2,B,Yakima Valley Cubing Spring 2019 (2019-06-01),333 Final A #1
1176032001,R2 U' B2 D R2 U L2 U' L D' L' R B2 L R2 U',Y,High Wycombe Open 2019 (2019-06-08~09),333 R2 B #2
1176561001,B2 R2 U2 B2 R' B2 D2 B2 D2 F' L R' D' L D' F' D2 L2 D2,W,SESC Gravataí 2019 (2019-06-08~09),333 R1 D E1
1200691001,B' R2 U2 F' U2 R2 U2 B U2 F U B U B U' B2 F2 R2,Y,Jacksonville 2019 (2019-06-29),333 R2 A #5
5222091001,R' F2 L2 D2 U B2 D2 L' R' U2 L U F2 U L2 U,Y,Desafío Rubik's Guatemala 2025 (2025-11-22),333 R1 G #2
1241158001,D' L2 U2 L2 R2 U' F U2 B' L2 B D F2 U F' D' F',B,Telšiai Open 2019 (2019-07-27~28),333oh R1 A E1
3884155001,L B2 F2 L' B2 L' B2 L' D2 R D L' D U' L' D' R2 U2 F2,W,Douvrin Open 2024 (2024-06-22~23),333oh R1 C #5
1305072001,B' R2 B R2 D2 F' R2 F D2 F' D' F' D L2 R2 F D B' R,G,Singapore MentalMatrix Open 2019 (2019-09-21),333oh R1 A #2
5700997050,D' F' B2 U' D' R2 U' B' R2 D2 B' D2 L2 B2 R2 B L2 U',W,Redhawk Slow Summer OH 2026 (2026-06-13~14),333mbf Final B #1
3604053001,D2 U2 R' D2 B2 U2 B2 F' D2 F' R B2 D2 F2 R' U2 R',G,Laguna Speedcubing Open III 2024 (2024-03-17),333oh Final B E2
1341754001,D' L2 U B2 D' F2 D2 R2 F2 U B' F L2 U' R2 B' D' U2 B U' B,B,CCC Qualification Kaliningrad 2019 (2019-10-05~06),333bf Final B E1
1349798065,D L2 F2 D2 B2 D' L2 B2 R2 U2 F' U' L' B' R2 U2 B' L F2 D2 L B,B,345 Cube Day Allen 2019 (2019-10-13),333mbf Final C #2
4805776034,U' L2 D L2 B2 U' F2 D' U' B' L2 D R2 D' B' F U L',B,New York Multimate PBQ II 2025 (2025-06-13~15),333mbf R1 A #2
1372783001,D2 F2 R2 D2 R F2 U2 R2 U R D' B2 D L U' B2 D2,Y,UK Championship 2019 (2019-10-25~27),333 R1 B E1
4891178001,D2 F U L2 R2 F2 L2 U' B2 D U' B F2 L' R2 U' R2 U,Y,Wiltshire Summer 2025 (2025-07-26~27),333 R1 D E2
3339889001,L U' R2 D2 B2 R' B2 U2 F2 D L' U R D2 B2 D L,W,CubingZA Cape Cubes Challenge 2023 (2023-12-09~10),333 R2 C #2
1411068001,L' F2 L' U' F2 R' B2 R L U' L2 B2 L2 D2 R2 D L2 U',Y,Festival Cubero Blind 2019 (2019-11-16),333 R2 A E2
