# Scramble samples — 123x2 / f2b / OR / bin 6
# Population in this bin: 8
# Samples listed: 8 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-09
# Columns: id,scramble,bottom_color,competition,round

113641001,F2 D2 L' B2 R' U2 R D2 R2 D2 B' F' D' B R2 F' D2 F R',R,Faria Brito Open 2015,333 R2 B #2
343177001,U2 L2 D' B2 U2 B2 L2 D F2 U2 B' L2 D L B' D2 R' B' F,R,SSN Cube Open 2016,333oh R2 D E1
604075001,U2 B2 D2 R2 F2 R' D2 B D L' F R B U2 B U2 F2,R,Big 'n Weird Pretoria 2017,333ft Final A #1
661404036,B L2 D2 F' U2 L2 F R2 B2 D2 U' R F2 U L' U L' D R2 F2 D,R,GLS Cup III 2017,333mbf Final A #1
1132325001,L U2 L2 D2 R U2 R' U2 R2 F' U2 F' D' U2 B2 F D2 L U',R,Luga Open 2019,333 R1 C #2
3492724001,U2 L B F' U2 F2 D2 B' D' L2 R2 B2 U' R2 B U2 R',R,HCHS Winter Open 2024,333 R1 B #2
4302155001,R' L F L2 D F' U2 D F' U' F2 R2 D2 F2 D B2 L2 D R,R,Acrópolis Bucaramanga III 2024,333 R2 B E1
5634547001,R B2 R' U2 R U2 R U2 R2 D R2 U L2 D' B' R' B2 D2,O,Tomelloso Open 2026,333oh R1 B #2
